NAME_1,Target Area
Acklins,565.000000
Berry Islands,807.000000
Biminis,1988.000000
Black Point,414.000000
Cat Island,1522.000000
Central Abaco,9196.000000
Central Andros,662.000000
Central Eleuthera,2363.000000
City of Freeport,26914.000000
Crooked Island,330.000000
East Grand Bahama,23145.000000
Exuma,6514.000000
Grand Cay,383.000000
Harbour Island,1762.000000
Hope Town,691.000000
Inagua,913.000000
Long Island,3094.000000
Mangrove Cay,892.000000
Mayaguana,277.000000
Moore's Island,593.000000
New Providence,246329.000000
North Abaco,3772.000000
North Andros,4471.000000
North Eleuthera,2918.000000
Ragged Island,72.000000
Rum Cay,99.000000
San Salvador,940.000000
South Abaco,1867.000000
South Andros,1465.000000
South Eleuthera,2921.000000
Spanish Wells,1551.000000
West Grand Bahama,24454.000000
